Starting Simulation...
num_nodes is set 160
channel.cc:sendUp - Calc highestAntennaZ_ and distCST_
highestAntennaZ_ = 1.5,  distCST_ = 250.0
1) 119 receive (0) a RREP MaxSQ=1002, REC=501 ; MOY=1002 accepted 
1) 19 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 1 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 47 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 87 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 135 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 18 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 149 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 109 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 125 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
2) 109 receive (0) a RREP MaxSQ=2005, REC=1001 ; MOY=1002 accepted 
2) 119 receive (0) a RREP MaxSQ=1005, REC=1 ; MOY=502 accepted 
1) 3 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 139 receive (0) a RREP MaxSQ=2002, REC=1001 ; MOY=2002 accepted 
1) 82 receive (0) a RREP MaxSQ=2002, REC=1001 ; MOY=2002 accepted 
1) 95 receive (0) a RREP MaxSQ=2002, REC=1001 ; MOY=2002 accepted 
1) 129 receive (0) a RREP MaxSQ=2002, REC=1001 ; MOY=2002 accepted 
1) 17 receive (0) a RREP MaxSQ=2002, REC=1001 ; MOY=2002 accepted 
2) 1 receive (0) a RREP MaxSQ=2005, REC=1001 ; MOY=1002 accepted 
1) 132 receive (0) a RREP MaxSQ=4, REC=2 ; MOY=4 accepted 
1) 122 receive (0) a RREP MaxSQ=4, REC=2 ; MOY=4 accepted 
1) 1 receive (0) a RREP MaxSQ=4, REC=2 ; MOY=4 accepted 
1) 2 receive (0) a RREP MaxSQ=4, REC=2 ; MOY=4 accepted 
1) 7 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 22 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 58 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 74 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
2) 17 receive (0) a RREP MaxSQ=2005, REC=1 ; MOY=1002 accepted 
2) 129 receive (0) a RREP MaxSQ=2005, REC=1 ; MOY=1002 accepted 
1) 52 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 45 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 4 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 1 receive (3) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
2) 132 receive (4) a RREP MaxSQ=10, REC=3 ; MOY=5 accepted 
2) 95 receive (0) a RREP MaxSQ=2005, REC=1 ; MOY=1002 accepted 
2) 139 receive (0) a RREP MaxSQ=2005, REC=1 ; MOY=1002 accepted 
1) 144 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
3) 95 receive (3) a RREP MaxSQ=2008, REC=1 ; MOY=669 accepted 
1) 1 receive (5) a RREP MaxSQ=6, REC=3 ; MOY=6 accepted 
3) 109 receive (2002) a RREP MaxSQ=9007, REC=3501 ; MOY=3002 refused 
